"Strings","AES_encrypted"
"Creativity thrives in an open mind that dares to explore possibilities.","b'\xcf\x98-\x199\x1e\xad=\x0e\xd8\x84\x80EQ\x07\xf9\x16\x95[\x17\xae\xe71B\xd0v\xe0\xf4\xa2\x12q\xbc\x88%\xb9b\xb5\xa3\x1a\xa7\xb6\xc5\xf2\x07}\xd2W\x06b\xaf;s@\xc9\x1d\xad[\xdd\x0e\x1fNa\xe5\xa8\x02S\xa4\xf9*\xb4\xbe\x9fq\x8f$\xde\xae\x10\x101\x8b\x1f\xec\x86\xf4\\v\x86\\?\xa9\x1f.\xcc\xf7J'"
"Great things never come from comfort zones—dare to challenge yourself.","b':\x1b\xb8$\xf4g\xfd\xd7XB\xc4\xb7\xf6*\xba\x18\x04n\xab\xa8\xad\x9f`\x93\x9d\xe6\x93O\xfb\x17\xe5\x99\xc6\xbd\xef7a`+eh6j\xd8 \xd7\xbf""gu\n>\xa2\x03\xda\xe7&\xfa\xc0\xd2\x7f\xd0\xe8\x8f\x1a\xe8\xcbK\x91\x83$\x88\x1bPF\x80\x970\x08""j\xc4%\xd5\xf5\xc0\tH\x0eMU^\xefp>\x8b'"
"In the end, memories matter more than money or material possessions.","b'\xa6|\xe2\xe5tY\xa6\xc9\x1bw\xe9\x9d\x90\xfc\x10\x90\xe0\x15\x90\x80\x89\xdc\xa7\xc9JGb\t\xed\x98y#\x17\xf2\xd5b\xbbk\x95\xff\xe4\xf2\xbf\x87Yz\x94;\xd3d\x9f\x82\xf3\xa9A\xa3\xbaT\xe5\xb5\xa1\xdfU\x98}\xaa)\xc2\xa8P\xdd)HV(\x1d\x86\xbfAE\x05)C\x06r\x998~\xf1\xffj""\x9e\xa9\xff\xa1'"
"Every problem has a solution; sometimes, you just need a new perspective.","b'\xc5\xdcS\xbe\xee\x18\x896s\xdc\x80\xc0\x8a\x82\xda\x0f\x96Pi\xf2\r\x96\x03\xb8\xd8\xde\x0c\xf2\xda\x19a\xb5\xdb\xe2\x1e\xdb\x1e\xbe\xa5 \x80y3}X\xd9\x13\x81+\x96\x1eng\xe7M@|Lh_\x05\x1ej\xe7\xc1\xdd\x8a\x9a\xae/\x1ct$Dn\x846.\xa4\xf0\x80u\x1f\xa0t\n\x81\xf9_\xa6^bh\x8eR)'"
"A setback is a setup for an even greater comeback story.","b'\xa3\xddw\xd8j\xae\xf7g_o\xb3?gD\x19\x11\x15\xfd\xfb\xcc\x94\xf32 v\x1c1j\xd9\x15o.D\xd7\x91\xa5\\\xc2=(}\xd9\x9dc:\x9dl\xb1\x10q\xea~U\xcc>\toSoK\xd2[\x14\x83t\x8e\xc7\x1e\x8a\xacL{@\xc7B\xcd\xc8\x90\x8e\x93'"
"Failure is simply the tuition you pay for valuable life lessons.","b'\xda\x8d`\x97\xeb\xa8\x91/\x81\x7fq\x13\x9d\x185\xb2\x9b\xbbF\xac\xb0D""\xed\x02!\x18\x0c7\x08\xaa\xc4@\xe3b\xd1\x7f\x16F\xe6\xf47\xb8\x9e\xef\xb8\xc3\xef\xa8[\x0f\xee\xca\xc4y\xc5\x15\x97\xdfua\xfb\xa8\xf8\n\x18\t4\xc1\xe2\xf0\xc7\xc7k\x15K+\xfb\n\x1e]Ct\xa100\xed\xe8\x10\xb8\x04\xba\x90\x9f{p'"
"Don't compare your journey with others; focus on your own growth.","b'R\rW\x81?-\x80_\xd9\x16e\x06XA\xcc\xcb\xbc\xaa\xfby\x97\xee\xc6i\x07P_\xb0\x03\x03\x07)y~`\x03\xf3\xb7\xae$\x89\x0f7\xb7\x92^\xbb,\xf9\x95\x07\xfeL\x12\\\x89\x00{\x96""X\xf8c&\x04\xe4To\xfc\xef\xb1\xeb\xd3\xb5^\xf0^\xc8\xa6!O\xb8\xc8\xa6#\x03\x957w\xb4o\x11\xcefJa'"
"The world belongs to those who take action, not just those who dream.","b'1\xc7\x95\xc8a\xadZO\x9c\xf0\x14\x07\x97c\x1e\xba\xbfs\x0f\xd8\xe6\xd5|\xbeKI\x95\x992\xa9\x9cn*\xd5\x041\xaf\n\x04\xa5g\xeb\xfd\xef8\xa2\x0e\x1f\x0e\xc7\n\x97\x898(b\xca\xccM\x88{3oZ\x9aC\x97.\x90H\xa7\x83\xb1/\xa0\xd4\xda\x15u\x9b\x96\xcc\x98\xc3\x9cf\xaecq\x05v\xf1\xaf\x89\x050'"
"Strength doesn’t come from what you can do, but from overcoming challenges.","b'\x17)\n+\x9e\xc1\x8a\x90\xc7\x15\xf5\xdaX\xcd\x8e\xb4\xf1M%I\xcc\xfb\x08t\xba\xd4/\\\x07""\xf0\x0314\x1d\x0e\x078\x05\xeb\xe7\xa0\xbd\xe5:\x92\xd1D\xec\xe9\xad\xadc\xa9\xe4\xf2;\xd2\xe5Y\x83\xf2\x87\xaa\xf7(\x14\xd3\xbb\x9b\xc3O\xf7>~\xcd\xa8\xbf\xc2[\x010\xd2h\xff\x10\x1d\xf7A\xf5Q\xb3\x9c\xfc\xc6\x17'"
"Respect is earned through actions, not demanded through words or authority.","b'_\x16\x8f5\x0f\xf4]\x0f\x01t\xa9\x037q\x9cK\xb6\xfb$\xfd\x1c\x91_,4\x82(X5\xa5\x18`\xe7S\x15\x94\xf7F\xa6\x8b\x8axO\x08;N\x83@\xad\xe3?\x94\x07\x7f\xef\x85(\xa0`\x00\x83`w+\x84n\xf4\x13\xf6\x01$8\xc7j[\xcd&\xd9\x85\xd9\xc0\xe2H\x8d\xa4\x1ap\xd5\xbc\xa6^\xa9\xc0\x94\x001'"
"Every new day is a fresh opportunity to become a better version.","b'a\x1d\xe4e\xc1\xf8\xd6\x91|\xdf!/Y\x85\xb3A\x10\xe4\xdf\xaf}1\xa2C\x9c\xe79\x13s\xd4L\xdfy\xafL\x8b[\x1c`2\xe2iT\t\xc2rw\x9cs\x9e\x18\xbd\x15\xd1n\xd0m\xce\xc0\xfe}\xc8\xe9\xde)\x0c\xf09\xc2\x0f\x0c\xee\xbb\x80\xa80\x9b\x0b\xc9\xcc\\\xaa\x83\x9c\xd3\x93,\xbd\x9fdZa\x8c\x0b\xc8\xca'"
"Motivation gets you started, but discipline keeps you going till the end.","b'd\x11L~\xb7\xe0\xe8\xa0\x8c\xcb\xda\xac\x0e\n!\xbe\xdf}Bkk\x002eT\x16\x19q\xe0\\\x89\x81\xa3?\x00d\x1a4$\x1d\x0e\x15\xe8\xb7A\x98\xd0M6kN\n\xa8\xb7(\xa8\xf2nj!+\x06tT`\xc0Rd\x8dg\x9bD\x13\x86\xbc\xe6a3\xb5\x82\xf5\xc9\xb3\xaa\xdcu\xf0\x92!\xcd\x82\x19\xa5)\x17\x9e'"
"Listening is more important than speaking; wisdom comes from understanding others.","b'\xb1\xe3\xa0\x17\xb70\x96E~\x08\xe5\xc6\xd0y\xfa\x1c\xc7g\x1f0\x0b\x90{\xbe\xd8\xad \xbe\xeb\n>H\x1aAZ\xe2H\xb2\x84\x97)\xbf\xce\xeb3\xb0\xd9\xf7\n8uv\x98\xb2F\xa8\xb1\x84q\xec\xf99C?\x7f\xf7\x18\x1eg\xb9{5@\xe1\x92\xd6\xd2\xdb\xce\x06+\x95j2\x1b8\xee`\xa4\x1c\x1c\xf4\xe5sQ\xb6\xd6]\xd0""\xe3\xb4\xe0\xd1\n \xdd\x86XQ\xc9Q'"
"Your greatest enemy is the fear of failure—conquer it, and grow.","b't*\x82{\x1b#\xc4\xa3\x87""\xc4\x844SU\xb4\\\\\x11\xca\x1d\xbd1\x1fg\x03\x1ax\xb1\x85\xa6\xdd\xc6\xea\xc3\x83\xbc\xdc#M\xf7\x80\xa2\xb9\xcd\xf0ORA\xd2\xe3\x18\xb0!E\xd3n K\xc2\xac\xef\xed\x1e\xdd\xe2\xe7\x10V\xf15=\x9a\x8fJ\xc5\xb0\xe8\xdaP\xb7<\x8e\\\x13\x95l\xc0\xb7\x0e\xdc\x82\x0b\n\xf3G'"
"Patience and perseverance will take you farther than talent alone ever will.","b"">\x8f\xa8\x98P\xa8\xccbX\tw^\x0f\xc2\xd8\x88\n\xca[:R\xbf\x0b\xbe\xfc:%V\x93I\x00\xd3V\x1ba\xea\x10\xe5\xe4\xd2.Q\x1a\xde\xd9\xe3\xd6\x91'\xd0\x996Q&\xc5\xae\xe9?\x99\x0b\xac\xb6\xff\xe0\x8e\xec\x93`\x95\xc9{\x9c\xce\x11B\xa3\xcde\xf7\xf4\xc5v(m\xd4\x98-\xe0S\xa1\xe0X\x1a;1\xee"""
"A good heart and a sharp mind are the perfect combination.","b'\xb20\x8bV\x85}\xdf\xf9\x8a\xa9\xaaI\xfe\xbb}eWS~\r\xd6Rn\xc9\x81\xbc]\x83S\x98\x08\xf8\x1f\x8c\xcb\x84\xa7\xa04\x86\xc8\xba\xd6\xaf\xfdP\x17\r\xa3\xf3r4d\xc0\x8a0\xe2<\x11\xaf\xef\xb3\xc2i\xd04\x83\xd5\xa8q\x0c\x18\x0fB\r0\xa8\xb2R\xe2'"
"Believe in yourself, even when no one else does—it changes everything.","b""\xe0\xc2&\x89\x0c\xc6\xf1\x98\xbd\xb4\xde\x01\x0b\xdd\xc6\x83\x9a\xb4\\,\xbeXvFM-'I?b/\xf3\xba?\xeb\xbfA\xb4k<$H\xe0\xdf8\x8b\x94Cn\x1e\xb3;\x9b\x17e\xdb\x9f\xf9Mj;\xfddb\xb1\xaa\xd7V\xe9\xef\xbbV\r\x04\xdf\x1dz\x03-\x97\x90`9R'\xe3y@~\xcc\xbd8\x04D\xf9\xf7"""
"Life’s greatest lessons come from experiences you never expected to have.","b'\x867?\x8a\xc0\xf6\xe2\xfde\xa9\x11\xd9\xb7\xa7\\!\x05A\xb5\xd0\x13(\xf0\x1fq\xc8\x06\x1e*\x01\xb7\x9b \xb2\x1d\xe0\xd0\xcf\x85\xfb\xbb\x99.\xe2\x8d\x8f\xe9;>\x86-\xb1ap@\xc1\xb0ui\xac\xe9\x08\x1cH\xf3\xe7\x88=O\x91:E\x00\x95\x13\xc47\xcd!\xe5c\x89\xe6\x15\xf2\x9e\x95\xef\xaf)(Z\x99\xd1\xcdk'"
"Happiness isn’t found in things, but in meaningful connections and experiences.","b'\xac\xceI+\\\xf4\xe6W!\xd7r&\xa6v\x9e\x1a\x9b\x9b\xdf\xfd 9P\xb5a\xc4\x1c\x13`\x8a\xa4\x9b\x8cI\xdbWp\xa2\xed\x83r\xb0\x8c\xc8\xeaP\n\x8ao.\rg8\x18\xcf\xe4B/\x95\xeeY\x12\xce\x83\xa0\xb9\x1c\xab\xdby\xcfw\xdb\xae\xa4\xb1\xdb\x83`\xf34X=<\x9d\xa0\xe9\x98\xdes\x1bC\x96l\xcd`?.|\xa0\xfd)r\x94z\xcd\x8b\xf5\x1esV\x9c'"
"The strongest people are those who turn pain into personal growth.","b'\x1fL\xb6M\x84\xfc\xact\x93=P\r\xda\xdd\xc2\x01L\xa1\xd6\xb9\xd6\x0f\xb4}\xc2\x1b\x01.\x1ddM\xc3\xfc""\xed\x12\xbd\xa9,\x0cP\xaa\x1dO/\xe2\xc0\xf4\xf9\x9b+\xc8\xccK$1KZ\xce\x85b\x93o.M\xc7lk\xca\x15h,;4_\xf4\x15-\x9e\x1aJ|\xcf\xd7\xd5\x18)W\xb8@\x04\xbc4\'\xd6\xa8'"
"Hard times reveal true friends, while success attracts many temporary admirers.","b'\x19\xf2\xff\xfa,P\x04\x04\xe5\x92\xa8\x8c~&\x13S\x96Zj\xf4\x95|\xc7\x08\xffc\xc2\xe9\xd8\xbb\x04\xe5x\xca\xe2)\xb3F\xfe\xa3/\x99G\x8a?\xcfXs\xc7\xba|\xb2\xe5}h)\xf0\x1e\xbe\xf8\x14\x0b\x00\x01\xc9\xe5\xd1\x0fr_\xd8\x08\x86\x8a\xfe\x86:\xc1\xc1\xbea\x08\xfaM\xa1\xe7\xee\xb91\x14\x07\x9d\xb0\n\xe1\xdd'"
"Words can build bridges or burn them—choose them wisely every time.","b'<\x83,\xc6H\xe7\xccw\xe6\xa3\xd2\xa5\x04%\xa5\x1cp\x9fk$\\\\\xe9\rk\x83oWf\xc4iL{\x80V\xff\xed\x8c\xc1\x80P\x88\x9b\x91\xd8h\xd1\xc2\xe5\x99\x85\x86\xe0\xa0h\xbdH/nN\xc5\x88T\x16V\x84J\x86u\xd0\x96\xc4\xe1\x98\xb0\x8d\x86n=\x01T\x8f\xba\xdb\xcc\xd3[\xdb+\xfa.\xd0\x91_dc'"
"Every day is a blank page—write a story worth remembering.","b'-\x95\xb1 \xf7\xd7}z\x8e\x80#b\xa6\x95\xa1~va9\xd0=~\xfc\xe0i\xf1\xc8OA\x13\xb7\x8e\x96\xa1\x19\xd1\xd5\xc9\xf7\x06m\r\xef\x93J3i\x01\xc0\xfe\xf4\x9f\xa1\x1c9\x12\xc9OB*\x04\xbc\xc8\xc0I\xef\xa4\xe2\xccx\xbd^\t\xaaih""\xe5\x05!'"
"Don't wait for opportunity; create it by putting in the necessary effort.","b'\xe5\x11\xe1\x85\n+\x1c\x00h\x7f\xf5\xdbS\x84mT5J\xe41V\x84\xfb\xfa<-XmJ$M^ZX\xb6\xf2&\xaf\xe1\x9f\x9b\xecb\xe8\xfa3\xc5\xe0_\xa7\x14\xc8\x17[\xe2\xdc#\xac\xa2\x9c\x86h\n\x89\xb5bO\xf2~\xb7\x04\xcd8^\xe3\xd7;o#\x08h\x1fw\x17\xf4\xcb+r\xc6\xa2\xbd\xfb\xa31\xec '"
"Intelligence means nothing if you lack the discipline to apply it.","b'\x0b\x9d\x85\xc2\xc9\xfbI\xbcY:VjX\x85n\x9b\nHn~>\x1f\xc5\x95\x02\xd9\x1c\xd7\x13\xac\xc0\xeda\xfd\xa0\x9c\xde\xa1\xcfD7B\xa3\xf4\x0b\xe9\x1f\x1b\x9a\r\x02\xc6\x8f`\xcd/\xff\xbd.#\xa2\xb0\x9e]\xf4\tWW\xe8\x90R\x8b\x99\x9b\xac\x90%\xba4\xec\x0e%o;\xe98\x10OZ\x8b\nf\xfa\xb8\xf5y'"
"A life without purpose is like a ship without direction—lost forever.","b""K\x8a\x8b\x99'q\x12\x8co\xe3\x81?Z\xad\xb7\xe0\xe0\xca\x82\x17\xd2n\xf9\xdf\xee\xf3\xa0\xb5\x1e\x9a\x9d\n\x91(\xaf\x12A\xf2\t}\xe1\x8b\x99Ai\xb7\x82\xe1\x8d}\xeep\x1e\xf4\xcbT\n\xa9>\xe0\xd1\xeawh\x02\xe54\x10N\xd5V\x83\xa2N\xe6Yi\xa3\xf7\x91\x01=qp\x17L\xc8L\xf7\xed\xeaV\xfb\xcd\xd8s"""
"You don't find happiness; you create it through actions and mindset.","b'e\xd3+\xac\xd9c\xd2\x03\xd5\x10\xa7\xa4\t\x8b\x80\x10+\xa5\xfaW\xf3\x9fs\x1833\xf5\x92\xddc\x90\x9d{\xcf\x96\xb2\x19\xcf\x03mF\x92\xe8-\xfe\x15M\xbfV$\x0cE\xb6@\x01\xf0\x03\xbf!\x89i\x02C\x89\xf7$rV\xf7\xd5\x96\xc8\xd1\x9a&\xb2\xaf\xb2\xeb/\x80\x17\xcc\xbd\xb9~\xc4o\xfb\xa2\xf2v\xd2z\xba\xbb'"
"The power of small habits compounds into extraordinary results over time.","b'\xad\x9a\xc0\xbe\x93s\xd0\xab\x1a\xfb\xcc\x8b\x99\xba\x94K\xb4\xc0C2\xd7q\xa2+\x97\xbb\xfb~\x9dy\xc6\x04F\xef\x12>\xc5\x04\x84\xd8\xc5\xecu\x05\xbbg\xaf\xad\x9d\xe7vz\xb7\xa0[\xcb\xb2\x1b4\xe0\xb3N\xd6\xf4\xb2zq$\x1d\x0c{\x8f\x07)V\x81\x0c\x96\xbfN\x9d\x8f\xdd\x81\xfd*\x98\x88^\x0f.\x82^\x1b\xbf\x0c'"
"Great leaders inspire action, not through words, but through their example.","b'\xe0\xe4\xec\xe3\x02\xa0\xaf\x90\x02\xac\x80e\xfc\xccX\x020\x15\x99\xb8\xe7\x9e\x89\x07\x8c\x9c\xcb\xee\xd9z\xba\xba\x9ca\xa7\xeb\x98\nj1\xef\xe2\n*\xec\xc3\xd0\xf1H\xa5\xcd\xbb\x12\x9b\xe2M8\x08\x04,-\xf6\x15e\xb4\xc3\xde\x17\x148\xc5\x8d\x0f\xfd\xce%>\x1csdEi\x06\xfa\xba\xcc;N\x1e\xdd\xf2\x15n\xe0[I'"
"Struggles make you stronger, wiser, and more resilient than before.","b'z|\x1b\x97\xe8R\xc2\x87\x02\x1f\x07cg\x7f\xd5\xa3\xa6%\xe8\xc7=\t\xf4\xf0]:s\xbf\xf8.\x90\xcd\xec.\x15_\xa5{@P\xb3caK\xb2\\%\x17m7i\xdd\x1c@\x18\xd8\x15Sa\xe1\xdf\xbc\x19\xfcKI0\xce]8\xaa\xae\xe9\x12R%\xf6\x16\x8c\x8eg\xba\xabkQ@\x13\xcb\xc6\x01\\\x7f@\x9a\xf5Q'"
"A journey of a thousand miles begins with a single, brave step.","b'\xa0\x8e#Wf\x8a\xf6\\\x935!\xdd\x88ts\xb3s6\xd7\xaa\x9a\xbc\xd4+\xb2U\x9c\xae=\xd0\xef\x83gb\x88T$\xe4N\x9c\x82\x10T&\xad<L%\xca\xf2\x1fa\x04s;\xf9n\xeb\xfep\x01\x0cD0\xf9`\xb3B\x7f=h\x06s\xb4\x92v\xd2#(U'"
"Time and health are the real wealth—don't take them for granted.","b""rP\x8b6\x8fs\xed\xdb'$t~Fw\xf0\x1dQ7a\x8b?\xe0\xbe\x0c\x86\xb6\x93@c\x8e\x01a+kv\xcf;s\x8a\xbe)\x9d\xe9\x95\xff\x91L\xc7\xdd\x13z\x92\xe4:b\x03\xaaGD\x8c\xf8t\x85\xc4\xd6\x9b\xbb\xb0\xb8\xd5\xe2m\xd3\x02!x\xff\x03\x9a\xf2t\xbe\xfa\xfd6\xc1\x1df\x84)\x81b)\xc38\x8a"""
"The best investment is in yourself—your growth pays lifelong dividends.","b'O\xf6}\xb3R\xf6{n\x86sK\x988\x02\xec\x84\xe4\xbe\xa3\x8b\xd8\xf7 \xdf==\x92\xf0\x8aA\xe6\xccA\xbe\x1f\x00\x87\x8b\xc2=n]k\xcaU\xc6\xcb\xc2\xdc\xea\x16\xc7X\xe2A\x85\xe6\\\x13\xc3\x8a\xf1\xfe\x04x\x93nb\xad\xd6)\x00\xbe\x06&=\xcd\xa7\x8eU$\xdf\xd7L\xb74.=\xcb\xa7\x83\xa9\xcc\x9cY@'"
"Your future depends on what you do today, not tomorrow.","b'\xa34\xe4bJ\x18\x18\x99\x18z\xae!\xf7,\xaa\xe1\x89\xcf\xb7\x81\xce\x08J\xc8B)\xff\xb2\xa8\xdf%\xccfd\x81 \xb0\xcdFwsh}\x97\x0b\x86ELpL\x0bPye\xc6\x99p\xcab:kPf\x13\xe8\xccK\xf7cV\xac\x1b\xb5\x19%\xb7\xbe\xa7\x1cg'"
"Growth happens outside your comfort zone, where fear meets opportunity.","b'\x91<8\x95\x1ex\x1f\xc4\xb1J[\x15\xb3~Y\xa8\x95\x1f\xa6i0!p3ae\xd1\x1a~\xa500~\xc1\x11|\xe0`%\xd9-\xcdLw\xc1)\xe6:\xd1\x9f\x03\n\xcb\xdc!gG-\xa5\xae\x17&;\xb3j\x8fv\x8da\xb8I6\x86]\xe7\x8b\xdb\xa4W\xb0\x8c\xa5\xb5\xae\x7f\x92K\x88\xec\x11\x9b`b\xb5Q\xb2'"
"The best revenge is massive success and unstoppable personal growth.","b""\x94\x90\xa0\xa86\x82\x8b\xaa}\xb1!v@\xd5\r\x164wN\t*P\x13\x93\xf6\x91\x95z\xec\xc1T$7\x08\x11\xd7\x18v\x95M\xfa/*\xdd'_\x87\x9c\xa6\xf8nQ?e\x02\xc5\x9fR\xf9\xf5\xf0\xd4=\x8d9r\xac\xd3>\x1f\xd7N\xb5jX\xf0\x7f/\xad\x97B\x8ev\xf7\xd6\xdf\xf0\xfa%\x93\xf8Iz\xc2\xba\xe3"""
"A failure today is a lesson for a brighter tomorrow.","b'\xf7\xb44\xce}[\x1ag\\OD\x1d\x95j\x98O\xa3\xbe\x13\x0f\xb1\xe6x9b\xc1\xf7\x08\xa3\xa8\x8f\x11\xf5wFl\xc5!\xbfSa\x83\r\xde\t\xed\x8e\xc2\xe3\x0f\xd9\xd6\x17\xdbyr\xa5\xea\xb8\x96\x13z\xf9\x8d\xd4\xdc8\xf5Y\xca\x19NT\x89hn\x168\x1f('"
"Focus on the solution, not the problem, and progress will follow.","b'\xb0\xc4\xd3Y\xf4\xc4E:i\xab\x1c\xf2\x97_@~)D\xdee\x88""4\xab(\xdfP\xfd\xd9R\xdb\xf1n\xffWCA\x9a\xf0m}\x18\xd3n\xaaP\x04OO\x1d\x07\x0c?P\xc0\xd1\xf4\x050\xd0\x89\x97 \xb71\x19U\xcd\xf8`\xc0\x856\x97Cu\x984\x85.#\xf2\xd6\xbc\xbe\x95rJ}\xec\x9d\x1a|[4\x84'"
"Courage is feeling the fear but acting despite it anyway.","b'vxQ\x8b\x10\x0ez:\xe7\xd3\xdc>7\xd4e_\xa5j{\xa3p\x99\x9c\xaf\xd4|\xb0\xe9\x88`\xfdW\xd7\xd7\x1b\x8a\xe5]\x07\xc2\xb8\xc6\xa0\xba\xf1l\x06b\xd2\xc76Y\x8d\xb6ZI\xeb\xc9\xa4\xe9Z>u\xcc\xce;b\xf7\x0b\xc0\x15\xf9~\x89""AO|\x96f'"
"The right mindset can turn adversity into an advantage for growth.","b""7\x7f\xf8\x85\xbf\xe9\x1c\xa4\xad\xe4\x8aF\xc3\x88\x9f\x9cX\xb1j\xb5j\x97\x8e\x84\x80\x9b)/\x95\xbf\x98\xf3\xa8\x933\x0b7'\x07\xf7\xec\xaa\xae\xc7\xd5C\xc3tO\x10\x1c\x1ao\xc7\xf0\x9f\x9f\xe9\x87*[\x08r\xabJ\x05\x02<\x9e\xcc.\x91X?\x99_\x1c\x9d\xef*+\x92{\xa1.\xd8\x87\x11\x87\x02\xc6\xc0T\xf7\xc6\xfb"""
"Life isn’t about waiting for storms to pass but learning to dance.","b'UT\xcd\xa7\x0c\xcbM\x1c\xed\xb1\x06\x1d\x8b\x9f^\x03\x95[\xd7vG\xc9\x06\x02\xb4+O\xd9\xb2\x9aVs4qU\xbdK\xf4\x7f\xba\x19\x97oO\x1f\n\xc7B\xc3\x9c\x83\x9a\xab\xb3\xb5\x8a\xdd{3\xdd\xf8_\x86\x80\x1c\xd8\x07\x11P\xa3\xaa\xa7>\xd9f\xe7\xa1\xe7\xf1\xcc,\xab\xd5X\x17\xa4\x1d\xf7\xf4\x19\xd7\xb2\x93;\x86\xc4'"
"Love and kindness cost nothing but create infinite value in life.","b'\x9f\xf0\xfb\xd9`\xbd\xaf\xd9\xb6r6\x04\x81\x0c\xa5/{G\x89b\xbf\xe0=\t\x93\x87N\x8c\x8c\xfd\xf1Q\x00\xa8`\xdc@\xd65F\xd7\x7f\x1fK\x96\xbd#\x07\x01\x06m\xcf\x99*\x13\x86\xf1\xbf\xde\x9f\xb7\x95\x04\x17\xc0\x016\xc4\x14<\x94Qo\x88\xac\xa0n\xc5?\r\x976\x18\x19P\xfe;o\xf0}U=\xe5\x1f^\xbf'"
"The universe rewards those who take action, not those who only wish.","b'w\xca\xb0\x9b2P\x014\x10\x0f\x96J\x99G\xdf|\x15\x1d\xfa\xa4+\xf2n\rf\x8c\xd5=\xab\x8b\x18\t\xd3\x02\x88\x0b\xa9S\xfc\xf1Mr\x94|\xa6\xf3%[\xf5K\xafm\x90\x02C\xa6\x90\x85\xc4Lv\xef\x82r\x93\xa7@M+\x9aRp~\xc5>b\xe1\xf7\xf6\x12\xaa\xef\x9c0\xac`\xe6*\x1a\x1f\xe8Y\x0b)\x02\\'"
"Wealth isn't measured by money but by the quality of life.","b'\xdb\xd1y\xb5i\x9f\xceV\x8cl\xeew\x03\xe04\x8b\xc1\xe1x\xb5H0_D\xb3c:\xa4\xe9\xe4\x02\xb0\xa7\x92sYH\x84j\xe8\xf1\x05\xb2\xe8<$u\xf0CF\xa7\xb0\xa3\xc4:\xb8\xe4+\xbf\xdd\xccgC>y6\xad\x86\xc7\xdeJ\n\xb4\x96\xc7/\xc6N`\x9f'"
"Life’s beauty lies in its unpredictability—embrace the surprises along the way.","b'\xa8\x9b\xde\x80a|\x06\xc9\xf2\x85W#\x98_*J\x16\xa8\xab;\xeb\xe3\xabL!q\xfe\xbf\x1b\xfe\xfc8,er\xbd\xc5\x1b\xa1\x16\xb7\x03\x1bV:\x98\x7f\xf4\x9b\xd6\x7f\xea\xfc\xa0\xf4\xb5U\xf6\x0f\x92-\xad~\xb4\xaf\xee\xbc\xd0\x05\n\\\x10vE\x9c\xdf\xaa\xafSN\x07\xc8\xba\x88\xe8\xcc\xf3\xcd.?x%M\xd88I\x0c\x15y7/\x1aC\x8ci\x07\x9d\x9aR\xf36\xa2'"
"You are the author of your story—write it with passion.","b'\x1a\x997lZ\xb2\r\xc3ZX_\x95\xfe\xe3\x9b\xa0\x1a8\xd9?\x0b8\xd5\xc8\xe54\x92/\xca\xf3\xb4\x1f\xc8\xa34\x9b\x02\x8d{\x81\xfe\xfbRe_n\xc9O\xabZS\xbbXS\xfamgN\x96\xffp\xfd\xc5\xb5\x87\xb2^2!\x97N1\x1b\xae\xe7o\xdfyNE'"
"A dream without action is just a wish waiting to be forgotten.","b""'\xebd|Y\xe7\xca<\x16\xda\xfc\x8cf+\xd91\xf6\xedb\xf3}|\xcc\xff\xf1\xee\xecCY\xb3\xce-3=/\x94\x03\x90h\xab\xe7\x87)\x8c\xb7T\xc7\x1c\xcfq=\xed\x18F\x88\x9by\x8d\xb1\xfd\xc2K\xd0\xf8\xda\xea\x8f\xa4\xe8VFaQ\x02d(E\xb0\t\x95"""
"A positive attitude turns obstacles into stepping stones for success.","b'!DF\xdd\xe9\xf0\x17Mn\xb8\xabC\x1f^r%\xa5\xd5\xfd\xe5Y\x9c;\xb9!<\xc1Ic\x90`\xee4\x8e\xe3\xc8y\r\xe8c\x8b]g\xd3\x1c\xc8\n\x9e\xf6\xf5\x08<X?\xce\\uv\x16g\xa5\xe9\x0c\xf9-z\x85|\xedO\xe4G\x95\x0e\x0c\x9dg\xb4\x04\x11/Ls`\xb7\x02\xa3\xc0s\x90.\x1f\x06Cso'"
"Every expert was once a beginner who refused to quit.","b""\x06y\x05\xb8\x8f\x9a\x86V\x7f\xcc\xdb;\xa2\x13\xbeN]\x96\xffh\x88Uv\x0e\xd6\xdee\xa6\x7f\xf3\x01\xb5\xd0\x8a\rI\x9a\x03\xa5\x88\x1aQ\xe6i *\xbe\xd5_n\xef\xb5\xc6EJX\xd2\xf7\xe2VP\xdd'\xd4B\x1e[\xef\x8ccn\xca\x18\x95#\x08\x0f\x9f@\xf3"""
"When you believe in yourself, others will start believing in you.","b'wpnH\xb8\xac5\xeb>3\xbc\xe1_d\xf7\xb3:\xb4P\x8am\x0e^\xc0\xd1*\x9b\x81Q\x94\xdac\x112\x93\x85\xd5\xbc\xff\xa4\x9cV\x1f\x89\xeb\x1a\x8d\xd56\x92$\x13$\x87A\xd8Q\xd0`6% \xc5dv\xff\xffO\x941_\xe9\x94\x98\x06\x86\x83\x06A\xef\x1e\x91\xc8\xd8\xffb\xde\xbfv\xb4\x10t\xb69\x01\x18'"
