"Strings","ChaCha20_encrypted"
"The best gift you can give yourself is personal growth.","b'<\x16\xe5E\xd7\xd0\xa2\xf6\xa1\xeb\xb8ex\xa3\xf4\xfeM\tI\xed\xac\xea.\xdc\x009\x11\x84\x8b\xc2\xdd\xf3\n~d\x0f\xcb\xd4\x1a\x18\xe2N\xfb;\xef$\x19m\xd0\xe4\x8dyl=\xef'"
"To achieve greatness, embrace discomfort and push beyond your limits.","b'\xcdb.:e\xd8\xe1\xd2\xcc\x9b\x8e\xd7\x00\x87{s\xdb\xbc^\x04z\x80\x0f\xfe\xa77\xf7y\xeeKq_=\xb7\x96V\xc6\xef\xfe4M\x17\x00g\xf9AB\x84#\x04qu\xca\xaf|S\\S\xa6P\xb0\xb2]\xfd\x93\xfbj\t\xac'"
"No one remembers the excuses, only the results you produce.","b'\x1d\xdc\n\xe5\xf0\xb7\x8cs\xebze\xd4\x94pN \xa6\xc0\xba\xcd\x8f\xe4\x83Y\xf4\xd9DPa{\x0c\xc9L\x12\xb5\xa0\xfd\xf1\x16r\xd8\xabP\x91f\x0e8\xff,\x7f|\xd9\xe3\xfem\xfeH\xf5\xd1'"
"Learn to embrace failure, for it holds the key to mastery.","b""\xe3K\x1d0\xdb\x83\xc2\x00\x81Q\xfe\x05y'f@\x9b\x80\x0e\x8flW\xa8\xda\xd2\xee\xdc\x1cl\x14\x07\x06:c4<\xbd\x18\xeb5\xd9\x06&c-\x18\xe4\x9c6\x9d\x95\x82\x8c\x13z:\xa5)"""
"Do what scares you the most, and you will grow.","b'\xa2\x17\x19\xf7\xf3/\xcf\x1bH\x0c\x91\x83n\x0b~\x9cy\x9e\xad\\\x16\xc1y[>_\xe7\xb5\x15w\xe7\x16\x03\xee\xc0\x1a\xa5\xb6\xb2\xedj\xd2\x94=|0\xdb'"
"Self-discipline turns dreams into reality—without it, success remains a fantasy.","b'uD1l\xed\xae\xd5\xd2`\xf0\xdc\x01\x7f@\x1d\xedv!\xf7\xb4\tR\xcb\xb9\xac\xc2;\xd1\x03#\xe7\xe6;\xf9\x1c\xb7\xd0\xdfj\xfc\x9b\x90\xefB9=\x8c) \x9f\x01\xa3\xb4\rB\xd2\x1dTG\x16\xb2#\xb7\xc6\x1d\xf9\x89_S@~\xb2\xa4\xfb\x05/\xb1\x853\n\xaf\x9a'"
"True wisdom is knowing what to ignore and what to pursue.","b';\x97#\xbbKBQ\x97\x9e\xe4\x15\xc6\xbf\xc3\xc6\xd6\xb7\x96\x05JI\x19,\xf0\xff\xc7|\xa2k\xbc\xc4\x7fK\xf1\xb3\xbfC\x1al\xb5/I\x87 \xa3\xa0\xc5\xb2Tf;\xbb\x04]7\xb9\x85'"
"Nothing is impossible if you're willing to put in the work.","b'\x13\xf80\xf2\xfe\xd3L\x1b\xf1>\xa6\xa5\xc5\x0f\xcd\xdf\xad\xb9v\xcf\xac\xc3\xb4J\xa3!\xe1\x07\xcaY2\xff\xd5\xc7^K1\x9f/\xaa|l\xd3\x06\x8a\x018\xfc<\xe0Zo\x02\xba\xec\xfb:\x94\xe7'"
"Speak less, listen more, and you’ll learn what truly matters.","b'o&\xd9\xc8\x14\x80}K=T\xbfs\x1fEXhG\xdfg\xafCOf\xc1\xf7\xd9\x88\xcf\xb7r\xf6\x99^\xc9;\x16\xaf<\x89fRN\xaf\xed\xfb\xa0\xa84\x87\xef\x8d\xb3\x9f\x8a\xd5\xab\x15\x02\xcc\xd4\x87)\xb8'"
"The most valuable currency is time, not money or possessions.","b'f\xaf\xbc]\x00L\xda\x8e\r\xc1\x1cL\x87Lc\xd3e\xde\x81\x8e\xd2R\xf8\x17\xcc\xe6\x80\x80\x04v\x80\xe4\xae\xcd 1\xfc?\xc9\xbaI\x8a\xb4(l\x9aR\x8a\x9et7\xd8\x04\x99\xa3Ry}t\x13\xc3'"
"The best lessons in life come from the hardest experiences we face.","b'\xc8\xc6\xd2+y \xcc\xc8\xc5B\x86\x9d\x90\xbb^\xcfO\xf1\xf6\xeal\x8c/3\xccG.\xf2;\xc6\n\xeb{-\xf7\xf5\x07&qn^S\xd3\x02~\x9b\xcf\x9b\xdf\x96?)\x18\x9a\xc3\xe5Y\xa2a1(q\x19\xa6\xce2e'"
"A wise person learns from mistakes, but a fool repeats them.","b'i\x1eoW\x9aO\xcd\x9c:\x1d\x00p\xf7E\x92\xa3-\x89r\xde\x9c\x9c\xd0\xb0\xa2p\xcc\xf7h\x97i\xea\xee\xdf\r\x10\xd74\x14CD\xe7\x8e\xd0\xe3\xb2\xecg\x9e\xec_\xa0\xa5\xd1\x08\x8f96\xe1D'"
"Your words shape your world, so speak with kindness and intention.","b'\xe5\xc6\xd4\xb2\x04\x85\xc6f\xf6\xbb=I\xfc\xcfb\x8a*\x0b\xad\xe9\x94\x10pH\xf8\x14p\x04\xbb\xf0\x91\x87\xd5\xf2\xdc(\xfb\xf7\x8f\xddM\xbc\xb3\xd6\xee\xa7\xf8@\xc4\xf8\x9c\xae\x14\x02\xe2\xd4\xeeF\t\xf3a\x13#\xd9=\x9e'"
"Life is too short to waste on negativity—focus on what matters.","b'\xdb,e\xe5DR\xfc\xe6S\xb6\x92?\x88\xac\xaa\xc3\xd8\x95\xe5\xbc\xaa\xffYK\xa1mZn:P\xfa\x89\x94jQ\xc8m\xd1\x97=\x13\x1846(\xcb>J\x8d\xdbH3\xa2zgyk\xcej\xe9\xbf\x17\xde\x1d\xa8'"
"Your potential is limitless; only your mindset can hold you back.","b""\xf2*N\xc4\xe1]h\t~'\xb9\x1f\x01\x1f\x88\x18\xf8\xc7E\x90\xbc\x15f\x9a\x8d\xd4\x91\xae\xe6z=\xa22\xd4\xba\x05\x8d\xd24\xce\xb3\xf5>\xa5\x90\xd1AM&\xe5Y\xc0\x9a\x8e\xd3\x13l)AB8\xc5\x15\x88w"""
"Success starts with a vision and grows through action and perseverance.","b'g\x02\xc3\xd3\xa2d\x19\x9d\xa2z\xcb\x1f\x99\x1a\xaa\xda\tj\x010T\xd1\xaa\xec\x11\x90\xffm\x83u\xe4\x9e9\xdb\xd1\x06\xbf\xf9\xcfB \xb7\x92\xa6k\xff!\xa6\xb6\xed4\xa2\x12\xa5\x80-\xc6\x8d1U\xd2\xb0\xa4\\N\x8b~NGB1'"
"Be patient with progress—small steps still lead to big changes.","b""\xaaQw'\xd6\n\x00\x19h\xe2\xbex\x1f\xa5\xb7n\xce\x00\xa6g\xca\xe2\xf8\xceo\xe5\xc4\xae\xa5\xd6VE\xa7c\xb1\x1b\x1d\x9d\x93\x11)\xd1\x1c\xce\xd6\xd8\xb4\xdd~H\xcdP\xc7\x93!r\xb7Lc\xaf\xef\xeb\x93\x9e&"""
"Don’t let fear dictate your decisions; take control of your future.","b""o\xe27\xe2\xa9\xbc\xaa\xe6\xbf\xf2,b/\xcd\x0e\x1e\x89q\xde\xed8\x0e\xd3M6\x12\xcen\xa4\x9ar\xc5~\xa52\x0e%#\xa3Ov\xdb\xdb\xd4\x03\x1a\x0f\x16\x11\xd0q\xac\x074\xb6\x00\xf6g'\xf3\xc4\x1b\x14\xf7f\xe53\xd2M"""
"A peaceful mind is the key to a truly happy life.","b""\xa5\xa0Y\xc0D\x10\xb0\xb7\x824\xd4:\xd6\\)\xa2\x83\xa1\xf6$\x7f\x0f9k\xd6\xe5'\r\x0e\x88b\x14\xc7\xe1<\xe0\xd5\x06\xafM\xf0\x0b\x80\x11\xf7G\xd2\xc4\xdc"""
"Never underestimate the power of a kind word or small gesture.","b'\xc8\x00\x12\x1e9_2q\xe1\x1a\x93(7v\xa8k\xcf\xdeM\xa25\xd0\x84\x8at\xa6\x1eyD\x84\x9b\xd3!)]\xdfB\xed\x9a\x1b\x99V^j\x9ce|An$\x81\xa9\x90F+#=\x9e\x0e\xb7\xc5\x95'"
"Focus on what you can control and let go of the rest.","b']\xa2\xab!n\x94^AB\x1e\x8a\x1e\x979\xc0\xe2\xcd\xf8\xf6\xfeS\x87u\xf7q^\x99\x99\x0c\xc5\x03h\x9e\x08\xb2\xc1pN%\x80Z\xcep\x82\xd1P\xc9L\x91P\x8d\xea\xed'"
"The only real limits are the ones you place on yourself.","b'V6\xcfO\x1711\xa1\xb3E(=\xee\xb7e\xd5\xbb\xec\xdc5\xcf\x1d\xb84\xec\xba\x02h\xe5\xab8r\x08\x18\tA\xcdR\x13\xaa\x01\xb1\xce\x1e\xabu\xfc+\xef6v|\xe4\x01m\xf0'"
"Invest in experiences over possessions; memories last longer than material things.","b'\x97?\xbf\xdd\xdd\x95\xbe\xf3\xfe\xfc\x9e\x8d\xc8\x88\x19l]\x98\\\xdd\n\xdf^\xd3\xa5\x99\xce\xf0\x13\x9d\xc5\x87oX\xc1#\x88\xe2\xfct-\x12\x11w\x8c\xed\xccey\x85t\xfa\xee\xde\x81/C\xa9\xb8U\x0crr\x9b\x06\xe9\xf8;\xd8\r\rU,\xdc\xaa\xac\x1d\x89""\xd5&\xa9'"
"Adaptability is the key to thriving in an ever-changing world.","b'\xcdm]\xaf4\x95\xef\x1emG\x17\xd8\xf1\xfbS\xc1N\x13\xe8\xb8\xd4\xe3t&b\xed\xe3\xdfj\xb4E\xa2\x97\xc2\xe1\xf8H\xf7FW+\x86\x8dk\xf5\xdd\x97\xc4\xc1\t\xabv\x1c\xdfD\xd9\xaa\x16\xfbV\xeaH'"
"The road to success is never a straight line—embrace the detours.","b'\x80\xcfH]\xcc\x08\xa3\xf9\x8d3\xa1\xc0\xe9q\xaf7\xcePBd\xc6o\xa0\x96\x1c\xcf\xb71\x00\x90\xef\xca\xc6\xe5<O/\xf5\x12""\xd9\xb9\xfe/\xc7I\x08\xba\xdeB,\xaa\xf8\xbbu\x01\xda\xcdAL\x91z\xc9l\xdd\x1e-'"
"Every failure teaches you something new if you’re willing to listen.","b'\x08\xe8+\x93T\x9d\x8b\x99\x84\x08<r\x99I\x8e[\xac3\xbe\x86\xff\xf1\x13T<n}6\xf5n\x83)\x8b5}\xda\x16\x87\x01\xf5\x8e\x0c\r^\xc2&pC\xaf\xa9_>\xa4\x93\x0e;\xd5a\x01\xc5\xb9\x14\x03\xd3u8\xd7\xb4J8'"
"Focus on becoming better, not just proving that you're good.","b'\x82\x90\xb4k;\x8e#\xfb\x8clp\xfb\xf7\xcc\xd1\x83\xdf\xfd\xf1\xf8\xeb\x04\x8c\xf9=\xb6\x19\xbf\x01\x05\xf0rW\xdb\x1d\xbfa\xc9\xd3\xf5\xbe\xcf\x92C\x1f$\x82\xd7g\xba\xf1\x14\xc6\x82\x90n\x16\x93K\\'"
"Your journey is unique; stop comparing it to someone else’s path.","b'^v<W\xf6\xecpSJ?2\x0c\xd94\xa2\xe0\x91\xa0\xe6:\x8bF\xcf\x8e\rd\x15\x93\x1c}\x0ek\xbc\xdd\xb5\xc5\x8e\x96\x01\xb1\xf6\x87\xb5\x88\x03R\x94\x84\x8c\x10\xc1\xd8Pu\x91\xe21j\x82\xc3\xbd\xae\xf2\xf6\x01\x89k'"
"Sometimes, rejection is just redirection toward something better for you.","b'\xb1\x15\xf4\xa6\x8ex\xf3\x06\xb7\xae\xebjq\xf9E\xe0e\xee\x07\xdbl\xd8\x8e]O0\xa332\x9f\xa1xL\xcc\xd2\xc0oe:\x88\x9c\x0c\xf070\xfd\xb4\x01s\x914f\x11\x195\x04$2=\xfeH\x7fGM\x08\xc1\x8e\xe5\x0b\x90\x0bg\xfe'"
"You attract the energy you put into the world—choose wisely.","b'S\x05\xfa\x05F\xe2\x89\\$<\xafz\x0b\x1fO\xa7\x16\xcd\x0c\x12\x9d\x1f\xb3\x97J{\xff\x13\x97\x80\xa7N\x88P\xaf\xa1\xb0Q\xd0\xb9a{V\x850\x88\xf7\x175K\x84\x19\xe7z\xdf\x9f^\x89\xb3\xb9I\xea'"
"Learn from the past, plan for the future, but live in the present.","b'V)\xcbB\xa2\xd0-\xa9\x1a\x04*\xad+z\xfa*1\xb7\xa3S\x1dn\xa8kQ\xedV\xe3l\x9e\x96\xcb\xae\xdd\xae\x84e\x1bw\xd0\xe0{\x7fh\x8bxbU\xd30\xffQl\x8ed\x13\xec,\x0f\xc48~[#J\xa9'"
"Success is a series of small wins, not one big event.","b'\xe3\xb8@\xbf\x13\xdb\x17?\x18\x84\xbb\xbdx\x89\xd9\xff\x02\x02E\x0eoDKq\x8f\x00\xa8\x9fHP\x91\x1fVp\x94M\xce\xc7\xe9X\xa6\x9ea\x0f\xd8\xdcLd\x10\xa8\xa7\xee+'"
"Passion makes the impossible feel achievable and the difficult feel easy.","b""#G?\xa5\x13,\xf9\x0cs\x9d'\x9d\xfd\x8cI\x9aF\xf8*\xfaH\xcc5@$\xa4\xd9\x12\xacU\xa7\x04\xba\x91\xf2\x81\xef W\xa8-6lR\x18{\xda\x00^.\x06C\x15\xc5\xf1q\xc3\x9e\xc9\x08\xcc\x98,\xcd\x9eK\x9d\xc17\x8a \xfa\x8a"""
"Speak your dreams into existence, then take action to make them real.","b'\xe0\xdb^\xea\x1c\x12\x03\xee_\xcc\x98\x97\x1d\xf2\xcc\xce\x89\x9c\xf3$\xc6\xdd\x9a\xc9J\x06\x00\xcb5Ql\x18\x85th \x8c\xd7\x9d\x0f\xd3y\x9c\xe2|\xe6@E(G\xf1$*N+\x95\xc5\xba\xe7?\xd9e\xc2\x01jY\x9f\xee\xa9'"
"Sometimes, the best response is silence and letting actions speak.","b'\xb3~-\\\xa9B9\x0f\xd4\xc3\x1d\x8b(\xf0\xba\x9a\x1b\x9a\n\x06\x1a\xf8\x03\x9d]\xc5q\xb8\xe7\xe7\xaa\xda\xff\x80\xad\xe5\x08\xf5\xa8u&\x08r\xc7\x1a\xec2g\x8f F\xa2\x06\nc\xc8\x081bS\xf9\xa2\xbe\x01\x1dG'"
"You don’t need permission to chase your dreams—just start today.","b""d\xa2\xad\xa9':i\x92bq\x1d\xf6\xb2\xfb\xe6\x10\x08\x04\xb6\xa1\x8c\xf13d\x9dM>\xb5M\xbb\xc5\x0fG*\x9b\x93\x17\x16_\x98\x11\xb9\xf5f\xbc\x96\x10Z;\xc3\x9a\x94\x95p\xe6\x0f\xba\xa6\xdc\xdd\xeb\xda4\t\xa5,9\xc6"""
"A goal without a plan is just a wish waiting to fail.","b'\xcbpuY\x10~7\xc1\xa7\xcb\x13:\x9a\x1d\xa4\x05\x91\xb5\x9d\xb4\xe1\xe0\x9an\xe8_Fj&\x9a6\x1dW\xe4\xf1\xee8`\x9d74j\xe2H}+\xfa\x8dY\xc2\xe3\x99F'"
"Knowledge without action is useless; apply what you learn to grow.","b'\x96?\xed\x8f\xdb\xe0\\~\xa5\xe0\xcd\x80c\x8b\r9\x93^\xbb\xa7\x1f\x97]\x84~\xea*\x98\xe0\x89\x9a1\xf9/\xc9\rL\t\xa4\x99\x86p\x9b\xbcvj\xa3eD\x88q\x85T\xf44L\x8f,L\x90y\xf3\x9f\xa1\x80\x04'"
"The best way to grow is to challenge yourself daily.","b't\xb6\x91\xe8\xc8Ym\xe4\xf6\xe2 9\x92]D\x05B\x8b.w4\xf36\xd13.B\x85\xc1\x84:Q\xe4B\xffB\xeb\x9e;L2\x0c\x7fM\xd1\x9e3\xe5$\xde\x9bu'"
"Real strength is shown in how you handle your weakest moments.","b""\x91\xfei\x1f\xd2\xec2\xde\x80^:\ni\xc2<\xbc\x19a:\xe5\r!\xc9\xd6\xe5v\xa0'\x1a\x95\x94H\x13\xf6|\xc2S\xb0\xb9\xe5\xd54\x12\xb5\x89}[\x1c\x9a{ SpJ\x03\x8eZ\x82>\xb2f\xbd"""
"Keep moving forward, even if the steps are small and slow.","b'\xbe\xaf\x07\xda\x1e\xfd\xc1\xe8\xae\xca"".\xfc*\x01\xa0U\x179%F\xc25+h\xd2\x0b9b0\x03\xe5\xdf\x97\n\xb8x!q\xcev\x98\x82\xeb\xcf\xfd\xb6~\xaaRl\xb2\xadm\x17\xe6\xa8\x02'"
"The key to happiness is mastering your thoughts and emotions.","b']\x8e\xae\xf9|B\x10\xe6\xe1\x8dQ\xb5\xc8\xb9\xa2\xaa\x98\xd4\xb6\xe7\xe9\x08$l[\xa5\xb8\x82S\x99\x92I\x18`b\xd5y\xe2`\n\x10S\x18\x8f`\x9e\xa6\x05\xea\xae.\xda\xe4$\xc2z\x87\xfcc\xd4\xc0'"
"Take care of your mind and body; they carry you through life.","b'uE\xbbd\xa7""-\x95u\x00\x94\xdd\xe8d\x02\xa4Q\x12$\xb6 b\x86g\xfbhS\xea\xd8\xeb\xe9\x9bY\x08\xa7\xea\xf157s\xeb\xda\x07\xc6y\x07\xb2\xae\xd5p\xa8\xfd\xab\xa7\xd3\x14Fl9\xf6\xda'"
"Sometimes, slowing down is the fastest way to move forward.","b'#\xfd9M\xe53\xf6\x96R\x18\x87\xcd9|%\xbb\xdbq]*\xd0\xd57wq\x1f9\xcc\xd7o\xcd\xb4R^\x92o""\x04\xf7\x82\xf8,9\xbbj\xca\xb3\xbcI\xcc\xa3c\x07\xd2;!t\x1c\xbf'"
"The world needs your unique talents—don’t be afraid to share them.","b'@\x8e+\xafu)\x8ah\xd0\xf8\x9d\xe7r\xc1nl\xd8rq\xe8\x8b4X\x0e\x12\xad\xd1\t\x02\xdf\xa5\x99\x02\xd6=P\xe4\xdfd>\x86a\xce\xd9\x8dS\xca\xae\xeeT\x12\x86\\\x98\xe0Ua\xf0\xb0`""""Y\xfd\x8b\xdf\xee\xa3\x95t'"
"Stay humble when you succeed and resilient when you fail.","b'\xcc4\xc6C\xbcze\xc7A\xa55Uw\x1ff\x89\xdb\x988\xff\xf4%$\x00\x9b\x82I>z\xd6\xc0\x1e\xec\x81\xa5o)\xc6\xeb6\xb65\xa7)=3\xb1(\xb0\x15u\xbd&\x8b\x07\xab&'"
"In the end, the love you give is what truly matters.","b'\xf9\x0fON\xfe\xdf\x0cdN\x1ee\xbc\x9a\x82\x19\x92\x02\xb5\xa3\xed5\xe4\x96\xa0m\x13\x9d\x0b\xfd\x1b\xc7\xda\xee\x0efu\xb9\t\xc2\xe5w\x8a4\xeb\xd1\x15l\x14\xb5\xf9\xe4\xe3'"
"History teaches us that those who ignore the past repeat its mistakes.","b'a\xaa6^z\xeb\xf9\xc7\xd7\xdb?\xb8Lg\xa6\xf0g\xcf\x1b\xa8>\xfdv \x06\xa9m\xc8\xda\xf7K\x80\x07\xd1\xb3Z\xdb\xf5?v\x11{?\xed!\xca\xd0C\xc8\x9ez\xbf\xa7T\n\x05\x9e5\\H\xe7\x0f\xc2vO\xe9\xac\x16\xd9""'"
"The greatest civilizations rose and fell, proving that nothing lasts forever.","b'\xe4pZd\x9c\x83\xc7\xb6h\xd6\xe6\x86\x04\xc9\xd7\xd3\xa9$\x1f\x92\x1a\xa9)\xfa=~\xab\xb0 l\x88\xa1\x9eB\xcf\x19\x84\xfc""\xab_\x03G\xcc\xc81\xd5/\x8fI\xe2\xf4a\xa01\x1a^lA""\x98\xafCj$\x94[\x94\xaa\x8a<{\xfd\x08\xc6J '"
"Every revolution starts with an idea that challenges the status quo.","b'\xcf\x0c%\xfd\x95\xbc\xf5D\xc7\x96v\xd7""c\x00T\x13HIG\xe1\x1e\\g\xc3\x7f\x8d\x84w\xde\xca\xf0;\xf8)r\x946\xe6\xde\x1f\xd29&,\xb3>\xcfLX\x8f\xfd\x031\x9bq\xe8}]\x98\xd1$(\x05\xe5;\xd18'"
"Empires collapse when corruption replaces wisdom in leadership and governance.","b""GP\x97C\x06@\xfd:k\xe1E\xa16\x0b\x8aPZ!\xa9\x1a4\xe4'D\x1a\xde0\xa9d\xa5\xf2-\xae\xd7&\x1aG4\x8cB\xbd\xad\xa7\x90\x19\xcb&\xfe\xeb\xf1-\xfa\x1f\xd2\x11\xb9\x065\xde\xfc\x0e!\xfd\x9b\x8c\xa7Y?\x91\xdc\xaeQ@\xca<\x13\x93W"""
"The victors write history, but the truth often remains hidden beneath.","b'\xaf\x7f\\n\xd5\xc3P\xc8\xe9\xb6\x90\\j\xfc\xb7N\xd6]HL\xabT\x0e\x955p\xf5\xc4\xf1\xe1!\xa8<\x7f\x92Z\ra\x81\x15\x10\xd1\x8a\x81>\xbf\xe9G\xa7U\xcf:J\xe4yO7\xbfw\x85\x8eQ\xd8k,O?<@&'"
"Human progress is built on the successes and failures of past generations.","b'u^\x0b.\xba\xd7j\x15\x07\xf3qO\x18\x99it}\xe1=\xc5n\xe2\x1cf\x13\x8b\x84\x82\xf6\xbe\x1a\x92\x1dM\xf5\xcc\xa7\xaa\xfbv\xbe\x1b\xb4L9\x17\x05\xb8;\x19,\xa8x\x15\xfd $c\x98!S$\x92\n\xa0R\x00\xaf\xe8\x15\xe2\x94\xd9\x80'"
"The Renaissance revived art, culture, and knowledge lost during the Middle Ages.","b'\x15$k:X\xf3u\xe7\xfc\xe2\xaa\xc0t WX\x8fN/D\xbbu8+ \x07\'L\x85C\xa4\x99B\xd6U\xe4\x1b\r\x7f\xae\xc6\xd6\x82\x0fq}\x14\xa2a\xb06\xfe\xd1\xc6[\xfbj\xc3\x86\xae\x9cU\x1c\x91/\xf6}\xb2\x12\x81""\x9dY\x01e\x11\x00I|\x8e'"
"Ancient Rome’s laws influenced modern legal systems across many nations today.","b'i\xdb\xc1\x16<\xfb\xb1\x13\t\xbcNk=\xa0Z\xfe|\x11\x93\x19#\x8eE\x02\x13\x1e\x15\xdb \x96\xdb\xee\x92c\xb9\xecL\x90\x1fum\xe1\xbc\x98\xad~\xe6\x90\x9b\x17\xf3.\x01j\xc7\x80\xf6\t\x07\xdae&\xe5J\xdd\xc9(^/}\xd3\xd5R\xc2m\x13\x07\x02\xb4\x85'"
"The Industrial Revolution transformed economies, but also widened the social class gap.","b""\xe3X\xaa-\xe0\x90lRX?v\xb1\xbfsB\xfa\xf8~\xb0='8\x80\xdc\xa0+`\x81O\r\xc4\x7f\x90\xee~\xe2{T\xe9\x80\x8c\x1a\x95\xb6\x9d&\xb9\x81\xd9\xea?\xbd\x80pv\x1e\xfd\x1e\xadM\xc2\xfb\xbd\x9d\xf60\x86\xf6O\x8a\x84\xd0\xef\xb1\xb6]^\xfdZ\x134\x17\xd5<2\xb9&"""
"The Great Depression reshaped economies and changed government policies worldwide.","b'\x9c\x8d\xc7\xdf,\xc3=;\xd2~=\x83:\xb8\x1e\x04\xbe\x84.\xb9\xf5z|O\x9d\n\xed\xc3\x95\xd23c\xc8\x06\xcb\xca\x07\xd4\xa3\x17\xc9\x8d\xb6\x19""\xf9\xc7\x95\x8f\xd7x\x87\x03;\xc2*T0\xf2[\xbb\xf3\x80\xa2vb#\xd9\xa3\xb9Q\xf6\xb7\xf3\xa2\x94\x8a9\xb6\x9bQ\x16'"
"War has shaped borders, but peace has shaped civilizations even more.","b'\x14\x8cp3\x10\xb4\xde\xec_|\xb0\xe7\xd7JQ\xd6{Q\xccL\xb0^\x7f@W\x99\xaf4h\x03+\xcb\xa2\x08\x83M\xfd\x83\xbf\x8ck\x86#\x8e$\xa8\\|\x9e\xfa\xe0\x14\x8fH9\tp\t\x074m\xa6\xc6\n?\xb2V\xd3S'"
"The fall of Constantinople changed the course of European and Middle Eastern history.","b'\xdanh\xef\\rm\xc5\xeab\xc1\xf8\xbaX\n""\xba1\t\x86;z\xa2\xddC\xe2F\x9d\x80\xff\xef\xe8\xb8[\x0c\x12\x0b\xf1\x0c\xb8\xd3C\xfb\xa2\xce\xf6\xc9\xee\x93\xdd\x86\xf7\xf6!.Z\x9e?#$\xc9\x1b\xe9\xdb\x1c\xc2\xdb\x8b\x17}D\xf1J\x12\xe0x\xa2uZ\xd8\xc9/\'\x9a\xd9'"
"History’s greatest leaders often faced the toughest opposition before achieving greatness.","b'\x08H\x19\x04\x9b\xdb\xe7\xae\xd1\xc2\xec\xddrH\xbd\x0fV\xf0\\c\xb2\x81\xab5;\x9aL\x15B\x87\xee\xf3\xa5\xed|\x14\x8e\xb9\x00\xcdT\x02\xd6\xb2\x0b0\x03\x9c\xc7\xa1r\xeb\xb3H\x9d\x89T\xed\x1dh\xe7\x9d\x97\xcbW\xc8C\x98\x10\xb5\xf3\x0e\x97\xee\xdc\x0fy\t`?DkK\xd4IY\x89\xae\xc1\x944\xcd'"
"The Cold War was fought with ideology, fear, and political maneuvering.","b'g\xa4\xb7^J\xec\xcb7\xb9\x88\x11\x99\xa0\xa3\x05\xd5\xa3\x85D\xa91,\x00\x9e3\xd9\x96R\x80\xbcm\xc7zq\x11\x95\xbeTr\x96W\x8b\x8b\xb3\xeb\xedNZ\xeaU\x14\xfa\x95M\xfa\x06\x10`E]\x97\xb3[\xae\xffmk\xf4\x8cK\xbd'"
"The Silk Road connected cultures and created the first global trade network.","b'\x84\xf1\xcbKY\xa5\xa8\x08p0j\x08\x08\xccJb#\x08\xc9\xceM\xe7`\x9d\xc0}<q\xb0\xac\xd2VR\x11\xb6\x89o/ \x02\xee\xa1\x15\x91^\xf5A\xe3\xfb\xe0\xefva(\xbe\x89>\xda,\xa3D\x818[2P\xb8\x11\x04\xc4\xb7\xed\xfa:\xcb\x17'"
"The World Wars reshaped national boundaries and changed world power dynamics forever.","b""\xb7F\x14\xec\xben\xa5\xb7R!\x1bq\xae\xa6{\x0c\xd1t*\x85'Z,4\x13j\xac\x11\x188\xc6?n\x0f\xb4\x84\xfa\xc5\x8aR\xae\xc8\x9d\xde\x01\xf5\xea\x7f\x19\x84\x89\xc0\xbeB\x99\x19\xff\xf0\xe5\xd8\xe3\xce \x82h\x80>\xe0\x1a\x1e}\x1f\x83\xeaS\x98\xf6\x9b\xc8DL\xdf\xa2hI"""
"The Great Wall of China symbolizes both protection and isolation from invaders.","b'f\xf9\xe3\x03^-v\x85\xeb\xbf^\xdb\xe5\xaf\xdb\xc6tV>{`\x18\x16\xf9=\xd04\xc4\xde\xe1\xd9\xef\x80\xdc\xcc\xe3\x90\xfaJ\x0bO\x9e2=f\xef\xc9\xc7\nv\xc9\xbcA\x1f9\x9f\x8c\x92b\xe4\\\x99pR\xc2Hg#{Y0\xc2\xc0vVl\x082\x83'"
"The creator of ChatGPT, OpenAI, is teaming up with another US tech giant, a Japanese investment firm and an Emirati sovereign wealth fund to build $500bn (£405bn) of artificial intelligence (AI) infrastructure in the United States.","b']\x19\xcb\xa2L\xe9(\xb4\x9c\x8dx\xe1\xd04{\x0bo\xd3\x9e\xe0\x9c\xadv\x8e\xd5\xb2sb\x03\xad1R\x8f>\xb8\x1fc\xcfq\xae-\x16\xe5\xf6\xdb\x9e1\xcc\xda\xbd\xecd\xd4\x92\xa9\xb4F\x04\x870j\x9e\x18\x94\x91\x0fq\xe58\x89V>\x1c\x13\x8f\xc6\x0f+\xf0\x02CtR\xe3\x83\xbak\xb3\xa4v6\x93;\xc9\xbd\xa8\xda\xf0\xe1}\xfc\xab\x90jc\xa0\xbbE\x90\xb3\xcf@I&h\x8e\xf2`ak\xfcR\x89\x96e\x88\xda\xf67U\x94\x9e\xdcd\xec;B\xea\xc6\x1b\xc6\x04\xd3\x97\xf7\x8f\x0f\x01\x8a\x83N#R\xbc\xe4\xc8\xce~\xab7\x1d\xaag;\'\xb9\x97\xcf\xea\xef\xe9\x80\xd1\xaaUF\x1e""\xe0.]""C~\x11\x11\xa5\xe7\t\xfcg\x80\x0e\x1eT}\\\x1e\x83\x82\x89\x11\xb57\x13\xd8\x9ei\xa8\xcf\xa6\x841\x8d\xe7\x8c\xf3\x02\xa1\xe8\xad\x03\xbe\xefc\xffQ<U%\x0e\xbc'"
